shop_id,2016-10-04,2016-10-05,2016-10-06,2016-10-07,2016-10-08,2016-10-09,2016-10-10
1,277.0,258.0,232.0,259.0,247.0,256.0,239.0
2,121.0,125.0,108.0,95.0,34.0,102.0,76.0
3,90.0,121.0,93.0,90.0,70.0,77.0,68.0
4,97.0,119.0,132.0,139.0,112.0,88.0,78.0
5,42.0,2.0,32.0,180.0,298.0,276.0,312.0
6,73.0,69.0,30.0,79.0,93.0,85.0,64.0
7,173.0,150.0,160.0,113.0,96.0,157.0,117.0
8,75.0,76.0,76.0,60.0,82.0,60.0,72.0
9,187.0,203.0,228.0,263.0,227.0,233.0,234.0
10,43.0,45.0,62.0,93.0,100.0,67.0,71.0
11,43.0,55.0,55.0,46.0,81.0,56.0,84.0
12,116.0,105.0,83.0,111.0,56.0,76.0,62.0
13,187.0,177.0,226.0,232.0,217.0,227.0,225.0
14,44.0,41.0,65.0,61.0,65.0,58.0,64.0
15,130.0,112.0,196.0,182.0,133.0,132.0,112.0
16,69.0,68.0,80.0,59.0,49.0,35.0,31.0
17,83.0,62.0,83.0,89.0,89.0,82.0,74.0
18,54.0,56.0,75.0,82.0,63.0,98.0,68.0
19,132.0,148.0,181.0,179.0,150.0,143.0,138.0
20,101.0,89.0,103.0,100.0,157.0,157.0,160.0
21,96.0,89.0,94.0,127.0,67.0,75.0,72.0
22,59.0,49.0,68.0,79.0,86.0,57.0,80.0
23,107.0,18.0,2.0,2.0,18.0,12.0,4.0
24,109.0,105.0,82.0,64.0,43.0,57.0,36.0
25,96.0,104.0,124.0,113.0,97.0,114.0,142.0
26,119.0,108.0,108.0,136.0,72.0,88.0,85.0
27,51.0,64.0,62.0,73.0,84.0,74.0,100.0
28,103.0,85.0,84.0,83.0,66.0,76.0,53.0
29,119.0,113.0,129.0,125.0,86.0,114.0,82.0
30,66.0,52.0,46.0,57.0,58.0,47.0,53.0
31,303.0,359.0,357.0,467.0,412.0,290.0,308.0
32,86.0,107.0,122.0,127.0,397.0,406.0,425.0
33,79.0,111.0,92.0,110.0,84.0,63.0,77.0
34,374.0,409.0,414.0,401.0,353.0,341.0,327.0
35,191.0,181.0,163.0,171.0,203.0,172.0,141.0
36,87.0,72.0,88.0,90.0,67.0,62.0,75.0
37,114.0,133.0,154.0,239.0,168.0,200.0,199.0
38,48.0,34.0,50.0,62.0,94.0,85.0,90.0
39,237.0,340.0,281.0,332.0,220.0,216.0,236.0
40,82.0,85.0,73.0,92.0,85.0,90.0,64.0
41,185.0,261.0,254.0,264.0,132.0,175.0,144.0
42,129.0,125.0,106.0,105.0,81.0,95.0,74.0
43,149.0,193.0,181.0,159.0,114.0,86.0,62.0
44,72.0,71.0,78.0,67.0,52.0,68.0,51.0
45,74.0,49.0,69.0,56.0,38.0,24.0,22.0
46,116.0,127.0,129.0,116.0,177.0,178.0,181.0
47,45.0,44.0,39.0,51.0,156.0,152.0,155.0
48,569.0,569.0,594.0,497.0,467.0,406.0,405.0
49,438.0,466.0,446.0,437.0,448.0,454.0,369.0
50,62.0,82.0,95.0,75.0,75.0,66.0,46.0
51,11.0,14.0,17.0,29.0,65.0,73.0,69.0
52,103.0,124.0,104.0,112.0,76.0,106.0,51.0
53,98.0,109.0,122.0,98.0,110.0,123.0,134.0
54,275.0,270.0,339.0,323.0,404.0,364.0,322.0
55,224.0,231.0,273.0,277.0,273.0,261.0,260.0
56,111.0,104.0,83.0,58.0,53.0,58.0,50.0
57,374.0,395.0,408.0,440.0,372.0,293.0,286.0
58,1553.0,1505.0,1613.0,1631.0,1664.0,1728.0,1651.0
59,231.0,247.0,266.0,274.0,216.0,123.0,138.0
60,140.0,124.0,115.0,147.0,128.0,150.0,154.0
61,72.0,61.0,62.0,61.0,78.0,65.0,62.0
62,221.0,196.0,132.0,96.0,74.0,93.0,89.0
63,238.0,249.0,199.0,231.0,217.0,213.0,169.0
64,102.0,81.0,89.0,108.0,143.0,107.0,120.0
65,123.0,0.0,0.0,0.0,289.0,436.0,341.0
66,62.0,78.0,74.0,96.0,61.0,62.0,51.0
67,59.0,81.0,55.0,64.0,55.0,56.0,63.0
68,63.0,57.0,47.0,54.0,68.0,57.0,65.0
69,130.0,124.0,113.0,106.0,116.0,113.0,93.0
70,48.0,63.0,56.0,78.0,45.0,74.0,45.0
71,90.0,107.0,83.0,120.0,140.0,146.0,163.0
72,383.0,385.0,440.0,486.0,498.0,472.0,485.0
73,93.0,96.0,105.0,100.0,100.0,100.0,96.0
74,107.0,91.0,101.0,93.0,101.0,94.0,108.0
75,46.0,31.0,31.0,29.0,43.0,68.0,60.0
76,64.0,77.0,46.0,62.0,49.0,36.0,32.0
77,118.0,147.0,127.0,139.0,105.0,100.0,110.0
78,33.0,52.0,52.0,52.0,51.0,50.0,42.0
79,22.0,32.0,37.0,39.0,98.0,131.0,124.0
80,68.0,71.0,62.0,51.0,58.0,73.0,48.0
81,89.0,81.0,82.0,83.0,120.0,112.0,133.0
82,77.0,72.0,83.0,67.0,115.0,108.0,136.0
83,125.0,138.0,177.0,136.0,88.0,133.0,132.0
84,273.0,302.0,336.0,384.0,154.0,164.0,142.0
85,109.0,108.0,85.0,77.0,71.0,75.0,80.0
86,124.0,109.0,124.0,164.0,119.0,97.0,136.0
87,9.0,9.0,22.0,17.0,123.0,163.0,141.0
88,329.0,303.0,296.0,426.0,385.0,488.0,397.0
89,54.0,62.0,62.0,58.0,32.0,46.0,44.0
90,253.0,294.0,271.0,309.0,222.0,249.0,215.0
91,114.0,112.0,76.0,115.0,79.0,115.0,89.0
92,169.0,168.0,151.0,167.0,123.0,131.0,101.0
93,92.0,95.0,116.0,106.0,172.0,143.0,167.0
94,84.0,105.0,105.0,101.0,149.0,148.0,160.0
95,42.0,55.0,63.0,63.0,81.0,92.0,87.0
96,125.0,130.0,125.0,116.0,112.0,119.0,99.0
97,99.0,111.0,121.0,154.0,167.0,159.0,201.0
98,95.0,85.0,109.0,79.0,96.0,75.0,97.0
99,39.0,32.0,26.0,14.0,1.0,22.0,47.0
100,306.0,292.0,289.0,252.0,375.0,327.0,466.0
101,136.0,120.0,115.0,82.0,95.0,144.0,115.0
102,157.0,120.0,133.0,114.0,107.0,124.0,127.0
103,68.0,72.0,77.0,66.0,93.0,66.0,85.0
104,74.0,80.0,87.0,58.0,107.0,93.0,86.0
105,111.0,111.0,103.0,99.0,83.0,79.0,70.0
106,65.0,57.0,61.0,51.0,95.0,59.0,63.0
107,174.0,151.0,165.0,106.0,57.0,101.0,54.0
108,68.0,64.0,100.0,112.0,96.0,96.0,108.0
109,92.0,108.0,101.0,108.0,90.0,94.0,89.0
110,82.0,96.0,102.0,102.0,158.0,128.0,153.0
111,54.0,51.0,52.0,61.0,72.0,70.0,60.0
112,123.0,154.0,136.0,147.0,129.0,125.0,130.0
113,53.0,49.0,36.0,73.0,129.0,86.0,91.0
114,336.0,359.0,391.0,377.0,437.0,552.0,615.0
115,303.0,344.0,375.0,371.0,422.0,429.0,439.0
116,175.0,177.0,56.0,35.0,339.0,381.0,457.0
117,324.0,281.0,246.0,229.0,146.0,161.0,121.0
118,23.0,30.0,25.0,37.0,83.0,68.0,96.0
119,76.0,85.0,77.0,60.0,51.0,51.0,42.0
120,253.0,276.0,270.0,268.0,292.0,288.0,252.0
121,54.0,40.0,52.0,55.0,47.0,45.0,37.0
122,36.0,52.0,53.0,50.0,49.0,52.0,49.0
123,68.0,93.0,70.0,144.0,113.0,96.0,111.0
124,359.0,374.0,355.0,379.0,400.0,406.0,402.0
125,230.0,139.0,126.0,79.0,60.0,34.0,39.0
126,60.0,62.0,87.0,90.0,85.0,63.0,87.0
127,195.0,169.0,136.0,110.0,71.0,65.0,43.0
128,55.0,68.0,67.0,62.0,35.0,49.0,30.0
129,227.0,217.0,191.0,210.0,193.0,203.0,171.0
130,293.0,328.0,319.0,264.0,330.0,356.0,316.0
131,53.0,62.0,81.0,68.0,58.0,78.0,48.0
132,87.0,81.0,82.0,65.0,59.0,56.0,45.0
133,55.0,36.0,62.0,53.0,89.0,102.0,100.0
134,164.0,170.0,186.0,250.0,335.0,328.0,397.0
135,156.0,184.0,142.0,171.0,162.0,155.0,155.0
136,91.0,96.0,64.0,106.0,61.0,107.0,109.0
137,43.0,54.0,68.0,62.0,73.0,77.0,94.0
138,179.0,191.0,166.0,187.0,227.0,260.0,248.0
139,95.0,88.0,106.0,89.0,65.0,57.0,55.0
140,62.0,70.0,67.0,72.0,251.0,280.0,294.0
141,36.0,62.0,51.0,51.0,41.0,38.0,41.0
142,148.0,57.0,208.0,228.0,406.0,459.0,492.0
143,87.0,80.0,74.0,108.0,116.0,111.0,126.0
144,111.0,153.0,133.0,157.0,90.0,103.0,92.0
145,126.0,122.0,57.0,58.0,58.0,56.0,66.0
146,527.0,576.0,556.0,650.0,370.0,606.0,471.0
147,66.0,97.0,95.0,107.0,127.0,136.0,147.0
148,23.0,36.0,67.0,56.0,67.0,58.0,61.0
149,183.0,193.0,200.0,177.0,118.0,113.0,131.0
150,96.0,115.0,115.0,98.0,33.0,23.0,30.0
151,42.0,36.0,57.0,68.0,84.0,90.0,94.0
152,56.0,48.0,48.0,56.0,53.0,42.0,67.0
153,60.0,101.0,98.0,83.0,74.0,55.0,60.0
154,120.0,69.0,85.0,60.0,83.0,96.0,91.0
155,114.0,110.0,123.0,151.0,119.0,121.0,120.0
156,147.0,171.0,150.0,156.0,143.0,130.0,120.0
157,71.0,91.0,98.0,98.0,74.0,96.0,90.0
158,89.0,69.0,56.0,57.0,76.0,82.0,68.0
159,134.0,126.0,86.0,76.0,48.0,61.0,58.0
160,76.0,102.0,90.0,99.0,296.0,281.0,320.0
161,27.0,69.0,62.0,79.0,80.0,97.0,89.0
162,100.0,77.0,105.0,86.0,74.0,68.0,70.0
163,104.0,101.0,98.0,91.0,86.0,104.0,80.0
164,42.0,88.0,104.0,101.0,136.0,146.0,160.0
165,119.0,114.0,147.0,44.0,106.0,93.0,93.0
166,106.0,123.0,132.0,111.0,47.0,62.0,52.0
167,141.0,137.0,114.0,94.0,119.0,109.0,90.0
168,77.0,77.0,73.0,83.0,88.0,84.0,111.0
169,140.0,147.0,159.0,165.0,70.0,100.0,78.0
170,79.0,94.0,99.0,77.0,62.0,64.0,38.0
171,217.0,170.0,163.0,201.0,189.0,229.0,232.0
172,196.0,189.0,239.0,264.0,191.0,188.0,161.0
173,152.0,166.0,178.0,136.0,175.0,183.0,185.0
174,98.0,118.0,100.0,127.0,207.0,223.0,174.0
175,104.0,144.0,130.0,120.0,77.0,101.0,71.0
176,116.0,101.0,97.0,102.0,73.0,85.0,77.0
177,121.0,126.0,114.0,121.0,82.0,111.0,100.0
178,66.0,94.0,73.0,123.0,95.0,65.0,93.0
179,89.0,74.0,88.0,76.0,50.0,64.0,92.0
180,207.0,220.0,174.0,279.0,232.0,310.0,239.0
181,107.0,106.0,108.0,88.0,74.0,75.0,72.0
182,98.0,78.0,99.0,49.0,44.0,47.0,43.0
183,71.0,69.0,57.0,56.0,173.0,179.0,181.0
184,45.0,74.0,59.0,70.0,73.0,66.0,67.0
185,76.0,73.0,86.0,91.0,118.0,105.0,88.0
186,163.0,147.0,186.0,152.0,146.0,164.0,110.0
187,91.0,98.0,62.0,80.0,66.0,66.0,64.0
188,94.0,105.0,133.0,88.0,85.0,98.0,83.0
189,472.0,523.0,513.0,603.0,507.0,479.0,378.0
190,69.0,78.0,82.0,68.0,59.0,41.0,41.0
191,28.0,35.0,41.0,34.0,64.0,69.0,71.0
192,68.0,62.0,61.0,73.0,25.0,44.0,53.0
193,165.0,196.0,176.0,163.0,124.0,120.0,124.0
194,24.0,20.0,30.0,22.0,34.0,44.0,49.0
195,122.0,111.0,102.0,93.0,55.0,59.0,48.0
196,172.0,169.0,192.0,129.0,55.0,71.0,59.0
197,117.0,99.0,116.0,65.0,53.0,48.0,61.0
198,42.0,46.0,44.0,54.0,110.0,123.0,125.0
199,153.0,158.0,141.0,174.0,176.0,184.0,161.0
200,380.0,419.0,326.0,228.0,161.0,180.0,145.0
201,100.0,71.0,64.0,74.0,35.0,27.0,33.0
202,130.0,101.0,3.0,122.0,138.0,107.0,85.0
203,418.0,489.0,418.0,518.0,386.0,395.0,323.0
204,62.0,53.0,73.0,79.0,82.0,61.0,76.0
205,86.0,58.0,61.0,90.0,92.0,113.0,100.0
206,84.0,77.0,79.0,74.0,34.0,39.0,41.0
207,80.0,91.0,109.0,113.0,61.0,68.0,54.0
208,71.0,73.0,78.0,94.0,94.0,101.0,91.0
209,149.0,164.0,153.0,66.0,59.0,75.0,60.0
210,166.0,162.0,203.0,156.0,119.0,87.0,59.0
211,91.0,79.0,99.0,74.0,85.0,82.0,76.0
212,101.0,114.0,82.0,77.0,51.0,41.0,49.0
213,1.0,55.0,23.0,28.0,71.0,59.0,49.0
214,79.0,86.0,63.0,60.0,46.0,38.0,38.0
215,161.0,224.0,234.0,208.0,151.0,119.0,123.0
216,24.0,34.0,22.0,38.0,49.0,54.0,54.0
217,464.0,432.0,430.0,405.0,422.0,362.0,339.0
218,4.0,6.0,7.0,6.0,46.0,46.0,41.0
219,58.0,54.0,46.0,40.0,49.0,63.0,46.0
220,34.0,33.0,46.0,28.0,83.0,86.0,94.0
221,108.0,106.0,105.0,97.0,90.0,102.0,98.0
222,24.0,37.0,42.0,35.0,24.0,12.0,17.0
223,122.0,98.0,100.0,116.0,86.0,76.0,75.0
224,10.0,13.0,17.0,17.0,85.0,83.0,101.0
225,70.0,72.0,74.0,77.0,84.0,86.0,103.0
226,137.0,143.0,172.0,140.0,181.0,181.0,201.0
227,128.0,131.0,111.0,127.0,66.0,60.0,62.0
228,43.0,54.0,70.0,36.0,68.0,70.0,77.0
229,73.0,91.0,104.0,78.0,66.0,75.0,58.0
230,51.0,55.0,53.0,64.0,47.0,72.0,67.0
231,90.0,76.0,79.0,63.0,78.0,75.0,66.0
232,93.0,74.0,59.0,58.0,51.0,58.0,71.0
233,352.0,309.0,313.0,394.0,231.0,236.0,237.0
234,151.0,159.0,171.0,169.0,134.0,139.0,150.0
235,159.0,169.0,118.0,159.0,122.0,132.0,114.0
236,69.0,69.0,75.0,57.0,76.0,55.0,44.0
237,31.0,39.0,44.0,47.0,49.0,37.0,35.0
238,38.0,39.0,39.0,38.0,46.0,65.0,57.0
239,143.0,141.0,91.0,93.0,85.0,90.0,70.0
240,195.0,255.0,197.0,175.0,253.0,246.0,247.0
241,57.0,77.0,64.0,85.0,91.0,78.0,78.0
242,45.0,45.0,61.0,54.0,74.0,87.0,84.0
243,363.0,313.0,318.0,363.0,281.0,286.0,250.0
244,25.0,26.0,58.0,133.0,187.0,180.0,163.0
245,41.0,60.0,54.0,78.0,149.0,180.0,105.0
246,84.0,96.0,87.0,58.0,23.0,31.0,19.0
247,128.0,137.0,131.0,147.0,149.0,155.0,182.0
248,29.0,48.0,31.0,70.0,64.0,75.0,69.0
249,44.0,45.0,68.0,82.0,114.0,125.0,157.0
250,62.0,84.0,88.0,71.0,52.0,40.0,39.0
251,39.0,44.0,34.0,44.0,89.0,93.0,111.0
252,112.0,112.0,93.0,139.0,152.0,145.0,107.0
253,101.0,117.0,130.0,119.0,66.0,67.0,60.0
254,23.0,41.0,33.0,84.0,51.0,59.0,57.0
255,40.0,50.0,56.0,54.0,90.0,86.0,83.0
256,203.0,190.0,273.0,262.0,194.0,216.0,175.0
257,61.0,74.0,57.0,66.0,77.0,86.0,82.0
258,103.0,158.0,196.0,205.0,102.0,79.0,46.0
259,65.0,68.0,73.0,64.0,64.0,84.0,79.0
260,65.0,67.0,45.0,53.0,38.0,55.0,53.0
261,129.0,107.0,115.0,110.0,112.0,104.0,95.0
262,56.0,50.0,51.0,69.0,82.0,150.0,153.0
263,104.0,131.0,103.0,123.0,138.0,89.0,80.0
264,89.0,128.0,91.0,95.0,119.0,115.0,132.0
265,96.0,93.0,118.0,128.0,110.0,97.0,119.0
266,42.0,55.0,40.0,43.0,43.0,51.0,36.0
267,80.0,81.0,98.0,68.0,109.0,95.0,95.0
268,51.0,55.0,68.0,49.0,94.0,94.0,88.0
269,25.0,30.0,55.0,67.0,102.0,107.0,101.0
270,155.0,103.0,102.0,113.0,87.0,98.0,109.0
271,37.0,31.0,46.0,39.0,61.0,95.0,82.0
272,93.0,131.0,173.0,288.0,440.0,482.0,506.0
273,115.0,117.0,99.0,119.0,93.0,112.0,90.0
274,28.0,59.0,81.0,64.0,52.0,50.0,70.0
275,242.0,268.0,304.0,440.0,516.0,497.0,515.0
276,100.0,124.0,154.0,158.0,129.0,131.0,132.0
277,60.0,70.0,82.0,92.0,31.0,42.0,34.0
278,331.0,301.0,338.0,348.0,273.0,265.0,255.0
279,550.0,553.0,536.0,607.0,423.0,477.0,408.0
280,65.0,53.0,49.0,46.0,56.0,54.0,55.0
281,198.0,200.0,164.0,173.0,169.0,152.0,144.0
282,181.0,103.0,115.0,107.0,257.0,258.0,260.0
283,252.0,224.0,144.0,101.0,69.0,80.0,49.0
284,38.0,45.0,50.0,54.0,31.0,26.0,35.0
285,268.0,267.0,290.0,283.0,210.0,205.0,227.0
286,87.0,26.0,67.0,167.0,440.0,407.0,427.0
287,203.0,212.0,202.0,212.0,184.0,206.0,184.0
288,71.0,81.0,89.0,83.0,49.0,73.0,65.0
289,49.0,44.0,58.0,59.0,61.0,52.0,61.0
290,73.0,65.0,66.0,46.0,58.0,56.0,47.0
291,37.0,37.0,45.0,68.0,114.0,96.0,120.0
292,89.0,93.0,86.0,94.0,152.0,127.0,166.0
293,148.0,177.0,186.0,226.0,161.0,220.0,205.0
294,86.0,86.0,74.0,109.0,112.0,128.0,125.0
295,54.0,61.0,74.0,84.0,70.0,63.0,40.0
296,474.0,442.0,456.0,531.0,381.0,391.0,355.0
297,212.0,222.0,232.0,205.0,256.0,322.0,318.0
298,328.0,330.0,429.0,514.0,379.0,409.0,323.0
299,227.0,212.0,237.0,242.0,191.0,212.0,156.0
300,58.0,81.0,47.0,77.0,62.0,48.0,55.0
301,48.0,94.0,80.0,67.0,44.0,67.0,63.0
302,40.0,62.0,129.0,182.0,183.0,195.0,172.0
303,88.0,108.0,114.0,77.0,41.0,52.0,55.0
304,245.0,193.0,201.0,189.0,223.0,188.0,179.0
305,117.0,114.0,157.0,126.0,109.0,128.0,104.0
306,470.0,485.0,9.0,83.0,462.0,172.0,376.0
307,156.0,142.0,113.0,88.0,45.0,53.0,63.0
308,35.0,29.0,45.0,37.0,100.0,79.0,86.0
309,66.0,63.0,71.0,91.0,162.0,124.0,158.0
310,201.0,184.0,168.0,219.0,177.0,182.0,150.0
311,12.0,19.0,50.0,29.0,116.0,100.0,115.0
312,82.0,90.0,95.0,118.0,94.0,124.0,95.0
313,504.0,559.0,393.0,331.0,541.0,501.0,603.0
314,104.0,93.0,113.0,79.0,106.0,95.0,93.0
315,118.0,139.0,164.0,130.0,161.0,167.0,177.0
316,75.0,69.0,66.0,84.0,165.0,202.0,171.0
317,97.0,77.0,87.0,79.0,65.0,68.0,38.0
318,168.0,167.0,167.0,172.0,141.0,114.0,108.0
319,151.0,148.0,148.0,148.0,153.0,182.0,179.0
320,227.0,260.0,310.0,294.0,194.0,210.0,200.0
321,119.0,120.0,133.0,140.0,102.0,104.0,114.0
322,60.0,58.0,73.0,61.0,81.0,81.0,80.0
323,122.0,171.0,154.0,147.0,160.0,190.0,185.0
324,48.0,66.0,59.0,47.0,117.0,130.0,118.0
325,96.0,102.0,108.0,61.0,80.0,79.0,66.0
326,109.0,76.0,88.0,67.0,87.0,96.0,68.0
327,52.0,55.0,61.0,61.0,62.0,55.0,67.0
328,105.0,116.0,117.0,127.0,123.0,158.0,159.0
329,119.0,114.0,95.0,98.0,77.0,76.0,65.0
330,153.0,162.0,150.0,106.0,36.0,53.0,37.0
331,384.0,351.0,263.0,191.0,387.0,341.0,372.0
332,169.0,178.0,155.0,111.0,100.0,98.0,91.0
333,66.0,84.0,78.0,93.0,89.0,108.0,105.0
334,74.0,118.0,129.0,106.0,148.0,147.0,176.0
335,40.0,44.0,117.0,88.0,164.0,159.0,189.0
336,327.0,331.0,322.0,216.0,180.0,226.0,237.0
337,102.0,90.0,80.0,80.0,89.0,96.0,68.0
338,596.0,597.0,668.0,793.0,420.0,520.0,316.0
339,78.0,135.0,117.0,134.0,116.0,89.0,73.0
340,61.0,62.0,72.0,56.0,65.0,65.0,72.0
341,213.0,219.0,242.0,216.0,168.0,174.0,161.0
342,63.0,69.0,75.0,79.0,98.0,117.0,105.0
343,80.0,69.0,78.0,74.0,93.0,87.0,91.0
344,162.0,142.0,146.0,158.0,160.0,129.0,131.0
345,112.0,97.0,93.0,55.0,71.0,91.0,89.0
346,197.0,204.0,171.0,186.0,212.0,228.0,128.0
347,88.0,75.0,67.0,60.0,53.0,58.0,35.0
348,227.0,318.0,258.0,392.0,323.0,325.0,282.0
349,77.0,78.0,80.0,83.0,86.0,101.0,98.0
350,29.0,65.0,53.0,41.0,200.0,220.0,225.0
351,56.0,56.0,68.0,37.0,98.0,83.0,97.0
352,282.0,279.0,1.0,1.0,225.0,225.0,294.0
353,48.0,47.0,52.0,47.0,51.0,45.0,63.0
354,73.0,75.0,61.0,52.0,62.0,70.0,52.0
355,37.0,40.0,25.0,22.0,61.0,32.0,35.0
356,107.0,99.0,103.0,146.0,158.0,121.0,128.0
357,56.0,56.0,56.0,55.0,55.0,62.0,59.0
358,80.0,70.0,90.0,107.0,121.0,147.0,119.0
359,157.0,153.0,167.0,126.0,157.0,139.0,154.0
360,170.0,169.0,189.0,231.0,153.0,148.0,106.0
361,75.0,65.0,85.0,98.0,175.0,197.0,232.0
362,114.0,115.0,123.0,114.0,142.0,133.0,136.0
363,72.0,76.0,79.0,80.0,69.0,66.0,68.0
364,139.0,128.0,129.0,136.0,89.0,121.0,88.0
365,50.0,61.0,57.0,57.0,53.0,63.0,62.0
366,109.0,96.0,76.0,76.0,95.0,70.0,91.0
367,59.0,60.0,60.0,80.0,89.0,90.0,84.0
368,196.0,195.0,191.0,136.0,298.0,268.0,299.0
369,141.0,118.0,131.0,122.0,133.0,123.0,119.0
370,140.0,131.0,165.0,335.0,141.0,121.0,114.0
371,263.0,276.0,281.0,256.0,209.0,194.0,158.0
372,80.0,59.0,75.0,54.0,52.0,50.0,46.0
373,59.0,68.0,68.0,65.0,24.0,50.0,50.0
374,47.0,44.0,48.0,64.0,34.0,63.0,61.0
375,87.0,110.0,101.0,85.0,76.0,60.0,35.0
376,49.0,44.0,46.0,41.0,29.0,54.0,32.0
377,73.0,76.0,100.0,103.0,86.0,90.0,106.0
378,166.0,184.0,179.0,215.0,180.0,182.0,163.0
379,109.0,119.0,103.0,73.0,31.0,30.0,29.0
380,277.0,277.0,284.0,223.0,223.0,216.0,196.0
381,50.0,57.0,58.0,52.0,91.0,43.0,53.0
382,49.0,63.0,53.0,46.0,89.0,80.0,62.0
383,96.0,63.0,62.0,68.0,99.0,106.0,85.0
384,31.0,24.0,16.0,28.0,47.0,51.0,76.0
385,80.0,77.0,63.0,58.0,30.0,41.0,42.0
386,184.0,178.0,154.0,146.0,128.0,165.0,157.0
387,66.0,87.0,66.0,70.0,71.0,82.0,48.0
388,104.0,89.0,118.0,123.0,82.0,100.0,88.0
389,78.0,79.0,85.0,75.0,91.0,92.0,96.0
390,73.0,76.0,75.0,78.0,49.0,46.0,41.0
391,266.0,315.0,289.0,320.0,246.0,184.0,257.0
392,99.0,101.0,89.0,98.0,280.0,269.0,284.0
393,414.0,418.0,463.0,490.0,520.0,528.0,471.0
394,105.0,102.0,107.0,133.0,137.0,155.0,158.0
395,134.0,161.0,132.0,146.0,205.0,219.0,230.0
396,64.0,65.0,73.0,74.0,103.0,117.0,122.0
397,141.0,149.0,151.0,206.0,142.0,164.0,127.0
398,62.0,58.0,74.0,67.0,77.0,105.0,117.0
399,457.0,415.0,333.0,162.0,105.0,83.0,96.0
400,58.0,69.0,67.0,62.0,64.0,69.0,51.0
401,24.0,29.0,41.0,64.0,88.0,69.0,68.0
402,106.0,126.0,142.0,163.0,209.0,232.0,242.0
403,149.0,139.0,176.0,142.0,103.0,85.0,64.0
404,193.0,172.0,189.0,205.0,180.0,150.0,191.0
